epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,9.990134e-05,2.8958,1.3872,0.6579,0.8912,164.8
2,9.960574e-05,1.8302,1.0131,0.7334,0.9289,159.1
3,9.911436e-05,1.5634,0.8596,0.7688,0.9421,161.8
4,9.842916e-05,1.4266,0.7759,0.7877,0.9501,161.1
5,9.755283e-05,1.3286,0.7293,0.7979,0.9535,162.5
6,9.648882e-05,1.2582,0.6957,0.8057,0.9577,161.0
7,9.524135e-05,1.1994,0.6683,0.8152,0.9587,160.0
8,9.381533e-05,1.1530,0.6431,0.8201,0.9618,164.5
9,9.221640e-05,1.1062,0.6315,0.8233,0.9622,161.4
10,9.045085e-05,1.0679,0.6109,0.8303,0.9631,157.5
11,8.852566e-05,1.0364,0.5948,0.8341,0.9648,160.8
12,8.644843e-05,1.0102,0.5960,0.8333,0.9651,164.3
13,8.422736e-05,0.9810,0.5825,0.8354,0.9662,161.2
14,8.187120e-05,0.9577,0.5791,0.8383,0.9665,160.7
15,7.938926e-05,0.9335,0.5745,0.8390,0.9666,163.4
16,7.679134e-05,0.9137,0.5684,0.8401,0.9672,159.5
17,7.408768e-05,0.8903,0.5687,0.8406,0.9670,162.9
18,7.128896e-05,0.8682,0.5667,0.8438,0.9667,158.5
19,6.840623e-05,0.8529,0.5580,0.8442,0.9675,160.4
20,6.545085e-05,0.8413,0.5558,0.8449,0.9672,164.3
21,6.243449e-05,0.8146,0.5536,0.8452,0.9673,159.3
22,5.936907e-05,0.7990,0.5519,0.8457,0.9681,164.6
23,5.626666e-05,0.7890,0.5455,0.8497,0.9686,164.3
24,5.313953e-05,0.7719,0.5482,0.8476,0.9693,161.0
25,5.000000e-05,0.7681,0.5501,0.8472,0.9677,166.9
26,4.686047e-05,0.7485,0.5457,0.8497,0.9672,166.4
27,4.373334e-05,0.7397,0.5484,0.8495,0.9688,164.5
28,4.063093e-05,0.7352,0.5479,0.8488,0.9683,165.2
29,3.756551e-05,0.7140,0.5446,0.8499,0.9690,166.3
30,3.454915e-05,0.7079,0.5438,0.8498,0.9686,162.9
31,3.159377e-05,0.6956,0.5427,0.8512,0.9681,163.8
32,2.871104e-05,0.6829,0.5423,0.8509,0.9682,159.5
33,2.591232e-05,0.6843,0.5418,0.8526,0.9681,165.6
34,2.320866e-05,0.6800,0.5410,0.8527,0.9681,167.2
35,2.061074e-05,0.6650,0.5430,0.8516,0.9685,168.7
36,1.812880e-05,0.6616,0.5446,0.8512,0.9679,170.0
37,1.577264e-05,0.6542,0.5424,0.8519,0.9686,169.0
38,1.355157e-05,0.6506,0.5403,0.8522,0.9690,160.2
39,1.147434e-05,0.6412,0.5412,0.8521,0.9686,163.9
40,9.549150e-06,0.6380,0.5435,0.8520,0.9681,171.7
41,7.783604e-06,0.6276,0.5418,0.8519,0.9693,169.5
42,6.184666e-06,0.6366,0.5404,0.8530,0.9684,165.3
43,4.758647e-06,0.6327,0.5407,0.8530,0.9685,164.2
44,3.511176e-06,0.6305,0.5401,0.8524,0.9684,158.6
45,2.447174e-06,0.6230,0.5398,0.8532,0.9683,161.5
46,1.570842e-06,0.6183,0.5411,0.8522,0.9686,162.1
47,8.856375e-07,0.6190,0.5398,0.8520,0.9693,167.1
48,3.942649e-07,0.6136,0.5409,0.8518,0.9690,167.4
49,9.866358e-08,0.6216,0.5378,0.8528,0.9691,162.0
50,0.000000e+00,0.6169,0.5399,0.8529,0.9686,164.3
