epoch,lr,train_loss,val_loss,val_top1,val_top5,time_sec
1,9.990134e-05,2.1333,0.8066,0.7809,0.9480,322.0
2,9.960574e-05,1.2767,0.6381,0.8222,0.9626,330.3
3,9.911436e-05,1.0970,0.5716,0.8402,0.9679,297.6
4,9.842916e-05,0.9947,0.5237,0.8519,0.9694,246.5
5,9.755283e-05,0.9086,0.5137,0.8558,0.9715,240.0
6,9.648882e-05,0.8444,0.5060,0.8594,0.9730,248.9
7,9.524135e-05,0.7977,0.4833,0.8654,0.9739,229.3
8,9.381533e-05,0.7507,0.4773,0.8660,0.9738,241.3
9,9.221640e-05,0.7098,0.4784,0.8676,0.9741,236.2
10,9.045085e-05,0.6759,0.4712,0.8689,0.9746,229.5
11,8.852566e-05,0.6522,0.4683,0.8719,0.9744,224.9
12,8.644843e-05,0.6164,0.4715,0.8718,0.9760,228.7
13,8.422736e-05,0.5886,0.4783,0.8694,0.9752,213.7
14,8.187120e-05,0.5644,0.4725,0.8734,0.9751,216.2
15,7.938926e-05,0.5292,0.4837,0.8702,0.9742,213.2
16,7.679134e-05,0.5174,0.4835,0.8725,0.9738,211.3
17,7.408768e-05,0.4930,0.4820,0.8746,0.9746,219.6
18,7.128896e-05,0.4740,0.4915,0.8706,0.9732,199.1
19,6.840623e-05,0.4506,0.4949,0.8732,0.9739,195.9
20,6.545085e-05,0.4407,0.4827,0.8756,0.9750,199.3
21,6.243449e-05,0.4298,0.4962,0.8748,0.9745,197.1
22,5.936907e-05,0.3952,0.4823,0.8756,0.9745,193.3
23,5.626666e-05,0.3899,0.4957,0.8768,0.9742,193.9
24,5.313953e-05,0.3774,0.5027,0.8750,0.9747,199.0
25,5.000000e-05,0.3628,0.4959,0.8763,0.9750,195.5
26,4.686047e-05,0.3478,0.4995,0.8760,0.9752,190.1
27,4.373334e-05,0.3391,0.5054,0.8751,0.9754,192.5
28,4.063093e-05,0.3300,0.4921,0.8778,0.9757,191.4
29,3.756551e-05,0.3166,0.5000,0.8787,0.9748,191.1
30,3.454915e-05,0.3107,0.4878,0.8784,0.9760,190.0
31,3.159377e-05,0.3011,0.4963,0.8801,0.9756,187.1
32,2.871104e-05,0.2911,0.4883,0.8804,0.9760,180.8
33,2.591232e-05,0.2837,0.4877,0.8818,0.9760,183.3
34,2.320866e-05,0.2708,0.4888,0.8813,0.9768,178.5
35,2.061074e-05,0.2657,0.4909,0.8822,0.9757,181.1
36,1.812880e-05,0.2658,0.4858,0.8824,0.9759,177.1
37,1.577264e-05,0.2525,0.4929,0.8821,0.9757,175.3
38,1.355157e-05,0.2488,0.4911,0.8821,0.9760,177.1
39,1.147434e-05,0.2463,0.4908,0.8829,0.9763,176.4
40,9.549150e-06,0.2354,0.4881,0.8833,0.9771,176.7
41,7.783604e-06,0.2379,0.4850,0.8832,0.9769,175.9
42,6.184666e-06,0.2331,0.4811,0.8843,0.9762,175.1
43,4.758647e-06,0.2314,0.4825,0.8842,0.9765,176.1
44,3.511176e-06,0.2294,0.4818,0.8844,0.9768,173.1
45,2.447174e-06,0.2257,0.4812,0.8844,0.9759,171.1
46,1.570842e-06,0.2218,0.4772,0.8842,0.9768,167.2
47,8.856375e-07,0.2218,0.4814,0.8852,0.9765,161.5
48,3.942649e-07,0.2231,0.4817,0.8853,0.9765,162.0
49,9.866358e-08,0.2156,0.4815,0.8847,0.9767,162.5
50,0.000000e+00,0.2218,0.4761,0.8852,0.9764,163.0
